Period,Domain,Notice ID,Date,URLs Claimed,URLs Removed,Reporter,Owner,Lumen URL
S1 2026,alairelibre.cl,40920949,2026-01-27,738,660,Mikayla Demaiter,Mikayla Demaiter,https://lumendatabase.org/notices/77746826
S1 2026,mrfixitstips.co.uk,41217539,2026-01-24,15,1,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://lumendatabase.org/notices/77635263
S1 2026,sportsmole.co.uk,41336969,2026-01-18,2,0,Wilma Kosowska,Wilma Kosowska,https://lumendatabase.org/notices/77348157
S1 2026,sportsmole.co.uk,40508569,2026-01-07,2,1,Rania de Jonge,Rania de Jonge,https://lumendatabase.org/notices/76808487
S2 2025,bojoko.ca,39972526,2025-12-21,6,0,Cynthia Cole,Cynthia Cole,https://lumendatabase.org/notices/76027353
S2 2025,bojoko.ca,39961510,2025-12-21,4,0,Tiffany Brown,Tiffany Brown,https://lumendatabase.org/notices/75997107
S2 2025,bojoko.ca,39934113,2025-12-21,7,0,Lance Pena,Lance Pena,https://lumendatabase.org/notices/76002942
S2 2025,bojoko.ca,40006581,2025-12-21,5,0,Christine Agarwal,Christine Agarwal,https://lumendatabase.org/notices/76016713
S2 2025,bojoko.ca,39984480,2025-12-21,7,0,Jay Lukman,Jay Lukman,https://lumendatabase.org/notices/75992888
S2 2025,bojoko.ca,39920191,2025-12-21,7,0,Michelle Porter,Michelle Porter,https://lumendatabase.org/notices/76020894
S2 2025,bojoko.ca,39945654,2025-12-21,6,0,Tyler Weavers,Tyler Weavers,https://lumendatabase.org/notices/75993555
S2 2025,bojoko.ca,39956524,2025-12-21,6,0,Star Stone,Star Stone,https://lumendatabase.org/notices/75991096
S2 2025,mundodeportivo.com,39758299,2025-12-18,532,289,Mikayla Demaiter,Mikayla Demaiter,https://lumendatabase.org/notices/75823671
S2 2025,footballwhispers.com,39733933,2025-12-17,4,0,Stephanie Mitchell,Stephanie Mitchell,https://lumendatabase.org/notices/75827576
S2 2025,footballwhispers.com,39702956,2025-12-17,4,0,Lauren Gibson,Lauren Gibson,https://lumendatabase.org/notices/75817384
