Domain,URLs Requested,URLs Removed,No Action Taken,Duplicate,Waiting,2026 Claimed,2026 Removed,# Notices,Latest Notice Date,Top Reporter,Top Owner,Status,Transparency Report URL
uwhisp.com,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/uwhisp.com?hl=fr
mundodeportivo.com,133,9,122,1,1,0,0,100,2025-12-18,Leak Cleaner,Leak Cleaner,OK,https://transparencyreport.google.com/copyright/domains/mundodeportivo.com?hl=fr
observador.pt,81,0,48,0,33,0,0,81,2025-11-17,Louis Fireison Law Office,Inês Vitale,OK,https://transparencyreport.google.com/copyright/domains/observador.pt?hl=fr
bojoko.com,5,1,0,0,4,0,0,5,2025-12-05,Боян Субботин,Боян Субботин,OK,https://transparencyreport.google.com/copyright/domains/bojoko.com?hl=fr
placar.com.br,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/placar.com.br?hl=fr
umdoisesportes.com.br,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/umdoisesportes.com.br?hl=fr
trivela.com.br,4,0,4,0,0,0,0,4,2024-05-12,MyMedia Agency,LIGUE 1,OK,https://transparencyreport.google.com/copyright/domains/trivela.com.br?hl=fr
footballwhispers.com,81,2,16,0,63,0,0,81,2025-12-17,Даниил Сухроб Тарара Илиев,Даниил Сухроб Тарара Илиев,OK,https://transparencyreport.google.com/copyright/domains/footballwhispers.com?hl=fr
beachsoccerbrasil.com.br,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/beachsoccerbrasil.com.br?hl=fr
afrik-foot.com,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/afrik-foot.com?hl=fr
lakersbrasil.com,4,0,4,0,0,0,0,4,2021-08-25,Toomics Global,"Toomics Global Co.,Ltd.",OK,https://transparencyreport.google.com/copyright/domains/lakersbrasil.com?hl=fr
solobasket.com,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/solobasket.com?hl=fr
alairelibre.cl,7,0,7,0,0,738,660,5,2026-01-27,Hemingways Solicitors Limited,Mikayla Demaiter,OK,https://transparencyreport.google.com/copyright/domains/alairelibre.cl?hl=fr
topmercato.com,6,0,6,0,0,0,0,5,2024-09-25,LockLeaks,BANDITAA,OK,https://transparencyreport.google.com/copyright/domains/topmercato.com?hl=fr
basketusa.com,8,1,7,0,0,0,0,3,2022-05-11,ChaturbateLLC,ChaturbateLLC,OK,https://transparencyreport.google.com/copyright/domains/basketusa.com?hl=fr
sportsmole.co.uk,11038,1385,1967,7685,1,4,1,39,2026-01-18,Athletia Sports GmbH,DFL Deutsche Fussball Liga e.V.,OK,https://transparencyreport.google.com/copyright/domains/sportsmole.co.uk?hl=fr
bojoko.ca,17,0,7,0,10,0,0,17,2025-12-21,Cynthia Cole,Cynthia Cole,OK,https://transparencyreport.google.com/copyright/domains/bojoko.ca?hl=fr
parier-suisse.ch,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/parier-suisse.ch?hl=fr
bepicks.com,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/bepicks.com?hl=fr
calciodangolo.com,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/calciodangolo.com?hl=fr
vringe.com,83,32,27,0,22,0,0,72,2025-12-17,Group-IB,"ООО ""А сериал""",OK,https://transparencyreport.google.com/copyright/domains/vringe.com?hl=fr
esportelandia.com.br,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/esportelandia.com.br?hl=fr
fotbalportal.cz,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/fotbalportal.cz?hl=fr
pronosticos.futbol,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/pronosticos.futbol?hl=fr
wesportfr.com,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/wesportfr.com?hl=fr
quintoquartobr.com,1,0,1,0,0,0,0,1,2017-07-25,ChaturbateLLC,ChaturbateLLC,OK,https://transparencyreport.google.com/copyright/domains/quintoquartobr.com?hl=fr
resultadosnahora.com.br,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/resultadosnahora.com.br?hl=fr
dailymercato.com,2,0,2,0,0,0,0,2,2022-10-24,MyMedia Agency,MyMedia Agency,OK,https://transparencyreport.google.com/copyright/domains/dailymercato.com?hl=fr
premierleaguebrasil.com.br,4,0,4,0,0,0,0,4,2024-05-12,MyMedia Agency,LIGUE 1,OK,https://transparencyreport.google.com/copyright/domains/premierleaguebrasil.com.br?hl=fr
mrfixitstips.co.uk,8,0,3,0,5,15,1,8,2026-01-24,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,OK,https://transparencyreport.google.com/copyright/domains/mrfixitstips.co.uk?hl=fr
lubsport.pl,0,0,0,0,0,0,0,0,,,,No DMCA,https://transparencyreport.google.com/copyright/domains/lubsport.pl?hl=fr
soccernet.ng,3,0,2,0,0,0,0,3,2025-01-03,Remove Your Media LLC,"NBA Properties, Inc.",OK,https://transparencyreport.google.com/copyright/domains/soccernet.ng?hl=fr
